AutoId,Department,Category,Product_Name,Size,Barcode,Case_QTY,Standard_Price,Vendor,Vendor Code,Tax_Code,Inventory,Description_One,other_upc,other_vc,
4116,Beer,Craft,Founders Mas Agave - 4 Pack,4 Pack,642860200772,4,17.99,Craft Brewers,0,No,,Founders Mas Agave,,,
4117,Beer,Craft,Founders Porter - 6 Pack,6 Pack,642860200239,6,10.99,Craft Brewers,0,No,,Founders Porter,,,
4118,Beer,Craft,Founders Re Dank Ulous IP - 4 Pack,4 Pack,642860200505,4,13.99,Craft Brewers,0,No,,Founders Re Dank Ulous IP,,,
4119,Beer,Craft,Founders Reds - 6 Pack,6 Pack,642860200215,6,11.99,Craft Brewers,0,No,,Founders Reds,,,
4120,Beer,Craft,Founders Solid Gold - 15 Pack,15 Pack,642860900313,15,14.99,Craft Brewers,0,No,,Founders Solid Gold,,,
4121,Beer,Craft,Founders Solid Gold - 24 Pack,24 Pack,642860180319,24,19.89,Craft Brewers,0,No,,Founders Solid Gold,,,
4122,Beer,Craft,Founders Solid Gold - Single,Single,642860130314,1,2,Craft Brewers,0,No,,Founders Solid Gold,,,
4123,Beer,Craft,Founders Sum Mt Brown Ale - 4 Pack,4 Pack,642860200536,4,13.99,Craft Brewers,0,No,,Founders Sum Mt Brown Ale,,,
4124,Beer,Craft,Founders Unraveled - 4 Pack,4 Pack,642860020646,4,9.99,Craft Brewers,0,No,,Founders Unraveled,,,
4125,Beer,Craft,Founders Velvet Rush - 4 Pack,4 Pack,642860200789,4,16.99,Craft Brewers,0,No,,Founders Velvet Rush,,,
4126,Wine,Sauv Blanc,Four Bears  Sauv Blanc - 750ML,750ML,859139001613,12,13.99,Baystate,101830,No,,Four Bears  Sauv Blanc,,,
4127,Wine,Cabernet,Four Bears Cab Sauv - 750ML,750ML,859139001927,12,13.99,Baystate,109400,No,,Four Bears Cab Sauv,,,
4128,Wine,Chardonnay,Four Bears Chardonnay - 750ML,750ML,859139001217,12,13.99,Baystate,105610,No,,Four Bears Chardonnay,,,
4129,Wine,Pinot Noir,Four Bears Sean Minor  Pi - 750ML,750ML,859139001934,12,14.99,Baystate,103260,No,,Four Bears Sean Minor  Pi,,,
4130,Liquor,Other Catogory,FOUR CORNERS GIN 6/CS         -750M,750ML,860009834507,6,38.99,Horizon Coastal,0,No,6,FOURCORNERSGIN6/CS,860009834507,23930,
4131,Beer,Craft,Four Hands Super Flare - 4 Pack,4 Pack,40232626289,4,13.99,Craft Brewers,0,No,,Four Hands Super Flare,,,
4132,Beer,Beer,Four Loko - Single,Single,849806003293,1,3.29,Quality,0,No,,Four Loko,,,
4133,Beer,Beer,Four Loko 24 OZ - Single,Single,678666000780,1,3.29,Atlas,0,No,,Four Loko 24 OZ,,,
4134,Beer,Beer,Four Loko Aplle Sour - Single,Single,849806000957,1,3.3,Atlas,0,No,,Four Loko Aplle Sour,,,
4135,Beer,Beer,Four Loko Black Cherry - Single,Single,849806003279,1,3.29,Atlas,0,No,,Four Loko Black Cherry,,,
4136,Beer,Beer,Four Loko BlK Chery 24 OZ - Single,Single,849806000919,1,3.29,Atlas,0,No,,Four Loko BlK Chery 24 OZ,,,
4137,Beer,Beer,Four Loko Blue Razz - Single,Single,849806002272,1,3.3,Atlas,0,No,,Four Loko Blue Razz,,,
4138,Beer,Beer,Four Loko Cosmo Punch - Single,Single,849806004948,1,3.3,Atlas,0,No,,Four Loko Cosmo Punch,,,
4139,Beer,Beer,Four Loko Fruit Punch 24o - Single,Single,895216001046,1,3.3,Atlas,0,No,,Four Loko Fruit Punch 24o,,,
4140,Beer,Beer,Four Loko Gold 24 OZ - Single,Single,849806001169,1,3.3,Atlas,0,No,,Four Loko Gold 24 OZ,,,
4141,Beer,Beer,Four Loko Grape - Single,Single,849806002678,1,3.3,Atlas,0,No,,Four Loko Grape,,,
4142,Beer,Beer,Four Loko Grape 24 OZ - Single,Single,895216001053,1,3.29,Atlas,0,No,,Four Loko Grape 24 OZ,,,
4143,Beer,Beer,Four loko lemonade - Single,Single,849806003002,1,3.3,Atlas,0,No,,Four loko lemonade,,,
4144,Beer,Beer,Four Loko Mango 24 OZ - Single,Single,849806000780,1,3.29,Atlas,0,No,,Four Loko Mango 24 OZ,,,
4145,Beer,Other Catogory,Four Loko USA,,849806004726,,3.3,Atlas,0,No,,,,,NO
